#{"t_start": 1743946548.791229, "env_id": "None"}
r,l,t
7.3,10,20.887388
7.5,8,20.893486
7.9,13,20.903093
9.2,9,20.909473
6.3,11,20.918423
8.1,11,20.926352
9.3,8,20.931981
8.4,8,20.937582
9.3,8,20.943377
7.3,10,20.950451
8.3,9,20.956793
9.1,10,20.96391
8.2,10,20.970871
8.1,11,20.978725
8.4,8,20.98453
8.4,8,20.99012
7.6,16,21.00122
9.3,8,21.006817
9.0,11,21.014512
7.8,14,21.024294
8.0,12,21.032665
8.2,19,21.045969
8.9,12,21.054325
9.2,9,21.060617
9.3,8,21.066224
8.6,15,21.076961
7.2,11,21.084766
8.4,17,21.099781
9.0,11,21.109413
7.3,10,21.116516
8.2,10,21.123464
7.4,9,21.129748
9.0,11,21.137443
7.0,13,21.146748
6.4,19,21.159873
6.8,15,21.170231
8.7,14,21.180018
8.3,9,21.186279
8.9,12,21.194834
8.8,13,21.203908
8.2,10,21.210925
8.0,12,21.222575
9.0,11,21.230367
6.7,16,21.241825
9.2,9,21.24813
8.6,15,21.258811
7.3,10,21.267023
8.1,11,21.275553
7.9,13,21.285044
7.9,13,21.294074
8.4,8,21.299711
9.3,8,21.305269
8.2,10,21.312279
9.0,11,21.319976
9.2,9,21.326302
8.2,10,21.333355
9.3,8,21.339114
8.9,12,21.347748
8.4,8,21.35343
7.9,13,21.362723
8.3,9,21.36898
8.0,12,21.377574
9.0,11,21.385242
8.1,11,21.392901
9.0,11,21.400616
9.0,11,21.408292
9.1,10,21.415214
7.5,17,21.426973
8.3,9,21.433264
9.1,10,21.440707
8.4,8,21.446509
9.1,10,21.453696
8.2,10,21.461296
8.6,15,21.47227
9.2,9,21.478938
8.2,10,21.488672
9.1,10,21.496319
7.3,19,21.509902
8.1,11,21.517759
8.2,10,21.525189
9.1,10,21.532274
9.0,11,21.540282
7.9,13,21.549452
8.5,16,21.560839
8.2,10,21.567835
8.0,12,21.579051
8.7,14,21.594471
9.0,11,21.604711
9.1,10,21.612032
7.8,14,21.621972
7.7,24,21.639008
8.9,12,21.647916
7.3,10,21.655683
8.3,9,21.662421
8.3,9,21.669121
9.3,8,21.675086
7.2,20,21.689504
8.1,11,21.699074
9.0,11,21.708508
8.2,10,21.716186
7.8,14,21.726463
8.1,11,21.734219
8.2,10,21.741386
8.4,8,21.74712
8.7,14,21.75704
7.0,13,21.766101
9.1,10,21.773085
