Wall time,Step,Value
1743609060.5716918,94400,9.999999747378752e-05
1743609062.6644592,94800,9.999999747378752e-05
1743609064.2649999,95000,9.999999747378752e-05
1743609065.2123253,95200,9.999999747378752e-05
1743609066.9246817,95600,9.999999747378752e-05
1743609068.7343597,96000,9.999999747378752e-05
1743609070.5030882,96400,9.999999747378752e-05
1743609072.1795604,96800,9.999999747378752e-05
1743609073.9772415,97200,9.999999747378752e-05
1743609075.6536381,97600,9.999999747378752e-05
1743609077.5190299,98000,9.999999747378752e-05
1743609079.337146,98400,9.999999747378752e-05
1743609081.1988127,98800,9.999999747378752e-05
1743609082.8978689,99200,9.999999747378752e-05
1743609084.6121414,99600,9.999999747378752e-05
1743609086.9735644,100000,9.999999747378752e-05
