Wall time,Step,Value
1743618171.592434,235520,-9.460000038146973
1743618175.8281777,237568,-9.829999923706055
1743618179.9534318,239616,-10.680000305175781
1743618183.5456908,241664,-10.960000038146973
1743618186.5895953,243712,-11.399999618530273
1743618189.8473675,245760,-11.210000038146973
1743618192.9127574,247808,-11.890000343322754
1743618195.950829,249856,-10.850000381469727
1743618198.9571354,251904,-9.859999656677246
1743618202.248416,253952,-9.579999923706055
1743618205.3668056,256000,-10.050000190734863
1743618208.4901304,258048,-9.260000228881836
1743618211.9409182,260096,-10.960000038146973
1743618214.9903023,262144,-11.069999694824219
1743618218.0762126,264192,-11.369999885559082
1743618221.2246206,266240,-10.630000114440918
1743618224.3161151,268288,-11.40999984741211
1743618227.4900773,270336,-9.630000114440918
1743618230.7397547,272384,-9.479999542236328
1743618234.0494149,274432,-8.90999984741211
1743618237.4692597,276480,-10.470000267028809
1743618240.8413203,278528,-9.970000267028809
1743618244.406565,280576,-10.050000190734863
1743618247.640865,282624,-9.869999885559082
1743618250.7714999,284672,-9.760000228881836
1743618253.9493148,286720,-8.800000190734863
1743618256.9902236,288768,-9.350000381469727
1743618260.0257251,290816,-9.260000228881836
1743618263.2892964,292864,-9.619999885559082
1743618266.3497884,294912,-9.84000015258789
1743618269.4670284,296960,-9.989999771118164
1743618273.014549,299008,-9.489999771118164
1743618276.5281522,301056,-9.359999656677246
1743618279.632086,303104,-9.699999809265137
1743618282.744596,305152,-9.890000343322754
1743618285.9249518,307200,-9.529999732971191
1743618288.9588609,309248,-9.430000305175781
1743618294.156422,311296,-9.890000343322754
1743618298.6960974,313344,-9.59000015258789
1743618302.6808534,315392,-9.40999984741211
1743618306.2144032,317440,-9.800000190734863
1743618309.7906072,319488,-9.960000038146973
1743618313.2805862,321536,-9.380000114440918
1743618316.4526937,323584,-9.84000015258789
1743618319.8038573,325632,-9.430000305175781
1743618323.0733132,327680,-9.1899995803833
1743618326.1856594,329728,-9.5600004196167
1743618329.6998158,331776,-9.449999809265137
1743618332.8561695,333824,-9.4399995803833
1743618335.9746552,335872,-9.640000343322754
1743618339.133146,337920,-9.479999542236328
1743618342.2043056,339968,-9.0
1743618345.5737798,342016,-9.489999771118164
1743618348.752245,344064,-8.9399995803833
1743618351.895396,346112,-8.819999694824219
1743618354.9391522,348160,-9.050000190734863
1743618358.047279,350208,-9.229999542236328
1743618361.7676845,352256,-8.760000228881836
1743618365.9999268,354304,-9.270000457763672
1743618370.3195028,356352,-8.779999732971191
1743618374.350938,358400,-8.289999961853027
1743618379.1623828,360448,-8.079999923706055
1743618383.545493,362496,-8.229999542236328
1743618387.888803,364544,-7.880000114440918
1743618391.2862272,366592,-8.8100004196167
1743618394.608487,368640,-9.489999771118164
1743618397.8974037,370688,-9.449999809265137
1743618401.1712801,372736,-9.640000343322754
1743618404.312046,374784,-10.020000457763672
1743618407.3603222,376832,-9.75
1743618410.6396024,378880,-9.989999771118164
1743618414.1828473,380928,-10.15999984741211
1743618417.2582636,382976,-9.289999961853027
1743618420.4439378,385024,-8.880000114440918
1743618423.574604,387072,-9.079999923706055
1743618426.6853018,389120,-9.020000457763672
1743618430.1247342,391168,-9.329999923706055
1743618434.5595827,393216,-9.5600004196167
1743618438.7203329,395264,-9.970000267028809
1743618442.2500396,397312,-9.130000114440918
1743618445.4967859,399360,-9.020000457763672
1743618449.1147876,401408,-8.9399995803833
1743618452.3767815,403456,-9.329999923706055
1743618455.6284847,405504,-9.4399995803833
1743618458.6823854,407552,-9.449999809265137
1743618461.9600844,409600,-8.920000076293945
1743618465.0944517,411648,-8.279999732971191
1743618468.224683,413696,-7.630000114440918
1743618471.2769039,415744,-8.520000457763672
1743618474.4008498,417792,-8.819999694824219
1743618477.56746,419840,-9.460000038146973
1743618480.870795,421888,-9.6899995803833
1743618483.953171,423936,-8.779999732971191
1743618486.912637,425984,-8.789999961853027
1743618489.8775148,428032,-8.550000190734863
1743618493.333215,430080,-8.079999923706055
1743618497.1798651,432128,-7.820000171661377
1743618500.1474805,434176,-8.329999923706055
1743618503.1939697,436224,-7.869999885559082
1743618506.3535056,438272,-9.09000015258789
1743618509.6763403,440320,-8.899999618530273
1743618512.8211272,442368,-11.319999694824219
1743618515.9283438,444416,-12.40999984741211
1743618518.9038727,446464,-14.930000305175781
1743618521.8802273,448512,-13.40999984741211
1743618524.9368198,450560,-13.350000381469727
1743618527.8843584,452608,-11.520000457763672
1743618530.967633,454656,-10.180000305175781
1743618534.1370764,456704,-7.920000076293945
1743618537.3257432,458752,-8.970000267028809
1743618540.6904855,460800,-9.380000114440918
1743618544.2519886,462848,-9.069999694824219
1743618547.7251902,464896,-9.329999923706055
1743618551.779739,466944,-9.380000114440918
1743618555.1488135,468992,-8.710000038146973
1743618558.695376,471040,-7.980000019073486
1743618562.284946,473088,-8.5600004196167
1743618566.0671616,475136,-8.960000038146973
1743618569.8513584,477184,-10.380000114440918
1743618573.9586558,479232,-10.649999618530273
1743618578.6559713,481280,-10.520000457763672
1743618582.652861,483328,-10.859999656677246
1743618587.656178,485376,-10.680000305175781
1743618592.040287,487424,-9.079999923706055
1743618596.3807516,489472,-9.369999885559082
1743618600.5678062,491520,-9.90999984741211
1743618603.7810667,493568,-9.569999694824219
1743618606.9775598,495616,-9.869999885559082
1743618610.201113,497664,-9.779999732971191
1743618613.2779994,499712,-9.789999961853027
1743618616.6868258,501760,-9.989999771118164
