#{"t_start": 1743752298.8840184, "env_id": "None"}
r,l,t
9.3,8,67.008795
8.1,20,67.077429
9.3,8,67.099707
8.4,8,67.12238
8.4,8,67.15861
5.3,48,67.295383
6.9,32,67.388178
9.3,8,67.412304
7.6,16,67.467999
7.2,11,67.492411
4.9,34,67.60321
8.4,8,67.629323
8.2,10,67.658892
8.4,8,67.685816
6.2,39,67.81644
5.8,34,67.935016
7.3,10,67.966969
8.0,12,68.002749
9.3,8,68.029246
9.3,8,68.055007
9.3,8,68.08195
8.4,8,68.104838
8.4,8,68.130786
8.3,18,68.192881
9.3,8,68.223197
9.3,8,68.246166
7.5,8,68.272016
9.2,9,68.298857
8.4,8,68.333919
8.4,8,68.362567
9.1,10,68.388382
8.8,13,68.444206
9.3,8,68.475374
9.3,8,68.503507
9.3,8,68.528015
6.1,40,68.647107
6.4,28,68.782953
7.3,28,68.89794
9.3,8,68.926226
8.4,8,68.953344
8.4,8,68.990296
8.4,8,69.021789
8.4,8,69.058668
8.2,10,69.089283
9.2,9,69.128878
9.3,8,69.155748
9.3,8,69.183209
8.3,9,69.218208
8.9,12,69.266057
8.8,13,69.309333
9.3,8,69.337719
9.3,8,69.366931
9.1,10,69.399369
9.3,8,69.419233
9.3,8,69.443614
7.2,29,69.527663
8.4,8,69.549723
8.4,8,69.567736
9.3,8,69.586021
8.1,20,69.631145
9.3,8,69.652477
8.4,8,69.671256
8.3,9,69.692437
6.6,35,69.779042
9.3,8,69.810144
9.1,10,69.831382
9.3,8,69.849931
9.2,9,69.869445
9.1,10,69.900987
8.6,15,69.938745
5.6,36,70.028911
8.0,21,70.082916
7.7,15,70.128423
7.3,10,70.150388
8.4,8,70.172562
7.9,22,70.234769
9.3,8,70.261981
8.0,12,70.294566
8.2,10,70.316777
8.4,8,70.335552
9.3,8,70.357649
9.3,8,70.375839
9.1,10,70.401561
9.3,8,70.41991
7.3,28,70.488402
8.4,8,70.50614
8.4,8,70.523807
5.6,36,70.604575
7.3,10,70.628341
8.4,8,70.646259
8.3,9,70.663508
6.4,37,70.757414
9.3,8,70.779656
8.4,8,70.797569
8.4,8,70.820755
8.4,8,70.846642
9.3,8,70.873288
9.3,8,70.892228
9.3,8,70.910151
9.3,8,70.929452
9.3,8,70.952938
8.4,8,70.971897
8.2,10,70.990799
6.8,24,71.050848
7.8,14,71.094236
8.4,8,71.115201
8.4,8,71.136003
8.4,8,71.156954
8.4,8,71.183525
8.3,18,71.231043
9.3,8,71.252252
9.3,8,71.272809
8.4,8,71.295305
8.4,17,71.333519
9.3,8,71.353235
9.3,8,71.372009
9.3,8,71.394591
9.3,8,71.411669
7.7,15,71.447497
8.4,8,71.465275
8.4,8,71.488321
8.2,10,71.513458
9.3,8,71.530945
7.6,25,71.586435
7.3,10,71.610605
8.4,8,71.629411
8.4,8,71.647766
9.3,8,71.665797
9.3,8,71.694159
9.3,8,71.716177
9.2,9,71.743284
9.3,8,71.761001
7.9,13,71.792557
